"oil.price" "direct.tax" "interest.rate" "saving.ratio" "investment" "rec_dep" "rec_len"
"3" 0.04 -0.05 0.23 -0.04 0.1 6.21657878308917 5.41654368107038
"5" 0.05 0 -0.06 -0.01 0.05 6.47106483018768 5.68758238763426
"6" 0.02 0.05 -0.1 0 -0.09 5.82209884578094 5.5948432353476
"7" -0.12 -0.08 0.19 0.02 0.02 4.60492236581705 4.36607949412828
"8" 0.01 -0.16 0.03 -0.05 0.17 5.70229382778362 4.88657525775913
"9" 0.15 -0.08 -0.01 -0.04 -0.15 6.5847600579102 5.96140164083951
"11" 0.05 0.07 -0.16 0.08 -0.01 7.085497217389 6.32254501270297
"12" -0.08 0.06 0.03 0.1 0.26 6.66339040231641 5.70809139060799
"14" -0.08 0.05 0.08 -0.1 0.02 4.70214772410314 4.78183369678582
"15" 0 0.2 0 -0.23 0.25 5.95970194849181 5.90412662521199
"16" -0.04 0.11 0.26 0.04 0.06 6.16902867616784 5.75832691551987
"17" -0.03 -0.1 -0.06 -0.06 -0.08 4.81053009071711 4.59360511590728
"18" 0.11 -0.08 0.04 0.05 0.06 7.44969384637862 6.13291813488487
"19" -0.1 0.03 -0.2 -0.11 0.12 4.70081950882601 4.68215811965812
"20" 0.08 0.05 -0.14 0.14 -0.04 7.74801099762251 6.86009124851503
"21" -0.05 -0.18 -0.09 -0.04 -0.04 4.73455617686515 4.38397729753329
"22" 0.09 0.14 -0.01 -0.15 -0.11 6.20621870392754 6.36613902271164
"23" 0.22 0.1 -0.12 -0.04 -0.11 7.70922711153025 7.31004792462026
"24" -0.04 -0.06 -0.02 -0.16 -0.01 4.49653999920308 4.45832002555094
"25" -0.09 0.14 -0.17 0.11 -0.09 5.53254791536613 5.64197992619279
"27" -0.07 0.07 0.03 0.02 0.09 5.5001394626041 5.24648958053842
"28" -0.06 0.16 -0.08 -0.12 -0.18 4.31510579234683 4.84689827753959
"30" -0.1 -0.01 0.03 0.12 0.18 6.02717528457013 5.23387417839504
"31" -0.03 -0.05 -0.06 -0.13 -0.01 4.76191741157408 4.65149034970155
"32" 0.03 -0.02 -0.02 0.09 -0.29 5.6337579194836 5.43256743256744
"33" -0.06 -0.07 0.09 0.01 -0.05 4.9723067114718 4.72174078128871
"34" -0.15 0.03 0.1 0.05 -0.09 4.33370080622668 4.48072987721692
"35" -0.07 0 -0.1 0.04 -0.05 5.13169254472766 4.99108928626417
"36" 0.11 0.1 -0.08 -0.05 -0.03 7.10834252015567 6.7897186370315
"37" 0.03 0.11 0.02 -0.03 0.02 6.4168736468807 6.04791645444742
"38" 0.01 0.03 -0.12 -0.23 0.01 4.95982148786677 5.012
"39" -0.02 0 -0.05 -0.08 0.04 5.22998047523543 5.01667571550454
"40" 0.12 0.03 -0.03 0.06 -0.17 7.12507803264754 6.59938208032956
"41" 0.08 -0.03 0.07 -0.05 -0.02 6.31991393165006 5.65297651136201
"42" 0.04 -0.12 -0.04 -0.04 -0.04 5.68502702918091 5.18938659909071
"43" 0.02 0.06 -0.02 0.15 0.14 7.67708430182364 6.46578738595796
"44" 0.01 0.07 0.1 0.17 -0.03 7.2865890103468 6.40656266810113
"45" 0.02 0.02 0.04 0.25 -0.02 7.88986438922022 6.59804221474457
"46" -0.02 -0.12 -0.08 0.02 0.17 5.87921210269762 5.02749671855503
"47" 0.07 -0.19 0.15 -0.16 -0.05 5.38564730571531 4.8739328636552
"48" 0.04 0.06 -0.01 -0.05 -0.02 6.0811008248217 5.75208821632805
"49" -0.01 -0.09 -0.05 -0.05 0.09 5.47437208622774 4.94215276240859
"50" -0.16 -0.12 -0.03 0 0.14 4.40064285619415 4.22161385257683
"51" 0 0.06 -0.16 0.08 -0.1 6.07047510260464 5.74858387654505
"52" 0.08 0.05 0.07 -0.07 0.02 6.71811287173425 6.13741798355051
"53" -0.04 0.12 0.05 -0.2 0.03 4.82142145598959 5.08102051370453
"54" 0.07 -0.12 -0.02 0.02 0.01 6.4872690565687 5.48262129267263
"55" -0.16 0.05 0.02 0.04 -0.06 4.33210694789412 4.47183893083399
"56" -0.09 0.07 0.04 -0.01 -0.02 4.88039421429426 4.9095261358085
"57" -0.1 -0.08 -0.28 0.15 0.03 5.58647345561769 4.98935972807979
"58" 0 0.07 -0.04 -0.22 -0.04 4.7441193268605 4.92516455696203
"59" 0.03 -0.06 0.06 -0.08 -0.06 5.35377013906414 5.08259727858678
"61" 0.04 -0.13 0.09 0.19 -0.07 6.92717395635486 5.6030879188015
"62" 0.12 -0.13 -0.14 0.04 -0.01 7.08523157433358 5.895311823231
