"height" "weight" "age"       "children"
"1" 1.63470338596751 77.5146877796085 45     0
"2" 1.63466655223652 77.4043921371888 43     1
"3" 1.84203189937526 81.4393882146178 51     1
"4" 1.44810216293512 72.4752274782495 36     0
"5" 1.72065112940334 80.259742052117 41	     0
"6" 1.71619681889891 78.2586338718062 47     0
"7" 2.07427360675777 85.3956405566156 27     0
"8" 1.27711033980457 76.2718215813251 49     1
"9" 1.86301461713913 81.1472528906506 47     1
"10" 1.74014451380487 79.6304304633662 39    1
"11" 1.41086520687214 76.3457651044084 30    0
"12" 1.976713685003 83.7951074729474 33	     0
"13" 1.57773120088101 81.0004921320413 46    1
"14" 1.35146799737414 77.8860377255379 26    0
"15" 1.30559614993065 72.4929359798668 37    1
"16" 1.50781866889925 76.3400679556967 55    1
"17" 1.70688818731916 82.158612509269 41     0
"18" 1.82278184157721 79.5487667438054 43    0
"19" 1.91161165747241 81.985130819775 41     1
"20" 1.85101481270862 81.2846516909293 43    0
"21" 1.60607867235851 79.1751668828739 41    1
"22" 2.02678914898035 83.6551539252224 53    1
"23" 1.77245765152423 77.6999076098113 39    0
"24" 1.79235640059562 81.2307801085962 42    0
"25" 1.6825467948336 79.7613677768849 28     1
"26" 1.61170305261643 74.8658784965121 33    0
"27" 1.82243222290532 81.5223149902847 35    0
"28" 2.1626777843114 82.0508240048832 50     1
"29" 1.58555504533054 82.1430916760211 27    0
"30" 1.66401690353798 78.99844639356 38	     0
					     
					     
