resource		cost	year	used
quincunx		0.01	2012	9
knotted_ropes		10	2014	2
polydron		100	2017	4
zometool		200	2016	3
wild_gears		120	2018	1
dice			40	2015	7
Rubik_cube_3x3x3	20	2013	2
Rubik_cube_4x4x4	30	2013	1
armadillo_cube		25	2017	0
megaminx		30	2016	2
brainstring		35	2013	8
ball_of_whacks		50	2013	3
hexaflexagons		0.01	2012	8
Zeeman_machine		0.01	2012	8
backgammon		55	2015	0
hexasticks		10	2018	3
binder_clip_sculpture	25	2018	0
Penrose_jigsaw		100	2016	1
Coffin_puzzle		10	2017	2
French_curves		5	2016	1
